Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2018,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous fabrics,38.0,1.5
2018,EAV-070514-U,Solid waste (excluding 070513),45.0,21.5
2018,EAV-070599-U,Pharmaceuticals: wastes not otherwise specified,72.0,18.5
2018,EAV-070601-G,"Fats, soaps: Aqueous washing bottles, mother liquors",165.0,26.4
2018,EAV-070603-G,"Greases, soaps: halogen organic solvents, detergents.",37.0,0.3
2018,EAV-070604-G,"Fats, soaps: organ. solvent, washing liquid",165.0,4.9
2018,EAV-070607-G,"Fats, soaps: Halogen.reaction, distill.residue.",5.0,0.1
2018,EAV-070608-G,"Fats, soaps: reaction and distillation residues",463.0,40.3
2018,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",,
2018,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",19.0,3.1
2018,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",,
2018,EAV-070612-U,sludge from on-site Waste water tank (oh.070611),22.0,15.6
2018,EAV-070699-U,"Fats, soaps, lubricants, etc.: waste not otherwise specified",145.0,34.0
2018,EAV-070701-G,"Fine Chemicals: Aqueous washes, mother liquors",234.0,94.6
2018,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",141.0,12.9
2018,EAV-070704-G,"Fine chemicals: organ. Solvents, washing liquids.",538.0,55.7
2018,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",24.0,17.4
2018,EAV-070708-G,Fine chemicals: reaction and distillation residues.,79.0,116.5
2018,EAV-070709-G,"Fine chemicals: halogen filter cake, absorbent mat.",16.0,0.5
2018,EAV-070710-G,"Fine chemicals: filter cakes, absorbent materials",35.0,2.9
2018,EAV-070711-G,Fine chemicals: sludge (own waste water treatment),19.0,2.9
2018,EAV-070712-U,sludge from on-site Sewage treatment (oh.070711),9.0,3.0
2018,EAV-070799-U,Fine chemicals: wastes not otherwise specified,16.0,1.6
2018,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",,
2018,EAV-080111-G,Paint and varnish waste with hazardous substances,4118.0,158.6
2018,EAV-080112-U,Paint and varnish waste (without 080111),758.0,16.2
2018,EAV-080113-G,Paint and varnish sludge with dangerous substances,483.0,28.3
2018,EAV-080114-U,Paint and varnish sludge (without 080113),45.0,3.1
2018,EAV-080115-G,"Paints, varnishes: Aqueous sludges with dangerous St.",163.0,14.1
2018,EAV-080116-U,Aqueous sludge (without 080115),448.0,28.9
2018,EAV-080117-G,Waste from paint or varnish removal,264.0,19.1
2018,EAV-080118-U,Waste from paint or varnish removal (oh. 080117),102.0,3.6
2018,EAV-080119-G,Aqueous suspensions containing paints or varnishes,59.0,10.9
2018,EAV-080120-U,Aqueous suspensions (without 080119),131.0,9.2
2018,EAV-080121-G,Paint or varnish remover waste,14.0,0.3
2018,EAV-080199-U,"Paints, varnishes: waste not otherwise specified",7.0,0.3
2018,EAV-080201-U,Waste coating powder,145.0,4.7
2018,EAV-080202-U,Aqueous sludge containing ceramic materials,20.0,6.9
2018,EAV-080203-U,"Aqueous suspensions, ceramic. materials containing",10.0,2.0
2018,EAV-080299-U,Other coatings: wastes n.e.c.,4.0,0.7
2018,EAV-080307-U,Aqueous sludges containing printing inks,6.0,0.4
2018,EAV-080308-U,"Aqueous liquid wastes, d. Inks included",71.0,7.1
2018,EAV-080312-G,Waste printing ink containing hazardous substances,287.0,16.2
2018,EAV-080313-U,Waste printing ink (without 080312),99.0,2.6
2018,EAV-080314-G,Printing ink sludge containing dangerous substances,93.0,13.4
2018,EAV-080315-U,Printing ink sludge (without 080314),9.0,0.3
2018,EAV-080316-G,Waste from etching solutions,,
2018,EAV-080317-G,Waste toner containing hazardous substances,53.0,0.0
2018,EAV-080318-U,Toner waste (without 080317),322.0,1.3
2018,EAV-080319-G,Dispersion beer,14.0,0.1
2018,EAV-080399-U,Printing inks: waste n.e.c.,3.0,0.0
2018,EAV-080409-G,Adhesive and sealant waste with hazardous St.,1351.0,36.7
2018,EAV-080410-U,Adhesive and sealant waste (excluding 080409),294.0,75.7
2018,EAV-080411-G,Adhesive and sealant containing slurries,10.0,0.2
2018,EAV-080412-U,Adhesive and sealant retention. Sludge(oh.080411),8.0,0.9
2018,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",15.0,0.5
2018,EAV-080414-U,Aqueous sludge (without 080413),40.0,4.3
2018,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with hazardous st",9.0,0.3
2018,EAV-080416-U,Aqueous liquid waste (excluding 080415),41.0,7.3
2018,EAV-080417-G,"Adhesives, sealants: resin oils",,
2018,EAV-080499-U,"Adhesives, sealants: wastes not otherwise specified",5.0,0.3
2018,EAV-080501-G,isocyanate waste,109.0,0.6
2018,EAV-09,Waste from the photographic industry,,
2018,EAV-090101-G,Water-based developers and activator solutions,245.0,0.5
2018,EAV-090102-G,Offset Printing Plate Developer Solutions,238.0,17.9
2018,EAV-090103-G,Solvent-based developer solutions,8.0,0.1
2018,EAV-090104-G,fixing baths,188.0,0.5
2018,EAV-090105-G,bleach solutions and bleach-fix baths,3.0,0.2
2018,EAV-090106-G,Waste containing silver from tank photographer. waste,,
2018,EAV-090107-U,Films and photographic papers with silver,109.0,1.1
2018,EAV-090108-U,Films and photographic papers without silver,76.0,1.2
2018,EAV-090110-U,Disposable cameras without batteries,,
2018,EAV-090111-G,Disposable cameras with batteries (160601-160603),,
2018,EAV-090112-U,Disposable cameras with batteries (without 090111),,
2018,EAV-090113-G,Waste from silver recovery (excluding 090106),,
2018,EAV-090199-U,Photographic industry: waste n.e.c.,7.0,0.4
2018,EAV-10,Waste from thermal processes,,
2018,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",378.0,5384.9
2018,EAV-100102-U,Filter dust from coal firing,53.0,1520.2
2018,EAV-100103-U,Filter dust from peat firing and firing,38.0,21.3
2018,EAV-100104-G,Filter dust and boiler dust from oil firing,15.0,2.8
2018,EAV-100105-U,Calcium-based reaction wastes in solid form,43.0,532.9
2018,EAV-100107-U,Calcium-based reaction wastes (sludges),13.0,30.7
2018,EAV-100109-G,sulfuric acid,,
2018,EAV-100113-G,Filter dust from emulsified hydrocarbons,,
2018,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",20.0,8.3
2018,EAV-100115-U,"Rust and Boiler ash, slag, boiler stone (oh.100114)",38.0,1139.9
2018,EAV-100116-G,Fly ash from waste co-incineration,17.0,21.1
2018,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),20.0,3552.6
2018,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,44.0,47.8
2018,EAV-100119-U,"Waste a. Exhaust gas treatment (without 100105,100107,100118)",21.0,10.3
2018,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",4.0,2.1
2018,EAV-100121-U,sludge a. operational waste water treatment (oh.100120),5.0,0.8
2018,EAV-100122-G,"Power plants, etc.: Aqueous sludge a. boiler cleaning",3.0,1.1
2018,EAV-100123-U,Aqueous sludge from boiler cleaning (oh.100122),5.0,0.2
2018,EAV-100124-U,"Power plants, among others: sands from fluidized bed combustion",,
2018,EAV-100125-U,Waste from storage and preparation of fuel.,6.0,9.4
2018,EAV-100126-U,Waste from cooling water treatment,7.0,3.4
2018,EAV-100199-U,Power plants and other incineration plants: waste not otherwise specified,,
2018,EAV-100201-U,Iron and steel industry: waste from slag processing,15.0,851.9
2018,EAV-100202-U,Iron and steel ind.: Unprocessed slag,53.0,1443.0
2018,EAV-100207-G,Iron and steel industry: Solid waste from exhaust gas treatment.,59.0,263.1
2018,EAV-100208-U,Waste from exhaust gas treatment (excluding 100207),26.0,413.8
2018,EAV-100210-U,"Iron, steel ind.: mill scale",81.0,417.8
2018,EAV-100211-G,"Iron, steel ind.: oil hold. Drain from cooling water tank.",13.0,4.8
2018,EAV-100212-U,Waste from cooling water treatment (without 100211),3.0,0.1
2018,EAV-100213-G,"Iron, steel ind.: sludge, filter c. from exhaust gas tank.",10.0,155.6
2018,EAV-100214-U,muds and. Filter cake from flue gas tank. (oh.100213),4.0,134.8
2018,EAV-100215-U,Iron and steel ind.: Other sludges and filter cakes,18.0,251.3
2018,EAV-100299-U,Iron and steel industry: waste n.e.c.,11.0,2.7
2018,EAV-100302-U,Aluminum metallurgy: anode scrap,5.0,1.1
2018,EAV-100304-G,Aluminum metallurgy: slags from initial melting,,
2018,EAV-100305-U,Aluminum metallurgy: alumina waste,11.0,1.7
2018,EAV-100308-G,Aluminum metallurgy:Salt slags a.Zweitschmel.,5.0,192.8
2018,EAV-100309-G,Aluminum metallurgy: Black dross a.Zweitsch.,,
2018,EAV-100315-G,Aluminum Metallurgy: Scum (Flammable),31.0,26.7
2018,EAV-100316-U,Scum (without 100315),61.0,111.4
2018,EAV-100317-G,Aluminum Metallurgy:Tarh. Abf. from anode manufacturer.,3.0,0.5
2018,EAV-100318-U,Waste from anode production (without 100317),,
2018,EAV-100319-G,Aluminum metallurgy: filter dust with hazardous St.,14.0,1.0
2018,EAV-100320-U,Filter dust (without 100319),,
2018,EAV-100321-G,Aluminum Metallurgy: Other Particles and Dust,10.0,0.4
2018,EAV-100322-U,Other particles and dust (without 100321),4.0,0.1
2018,EAV-100323-G,Aluminum metallurgy: Solid waste a. Exhaust gas treatment,15.0,12.0
2018,EAV-100324-U,Solid waste from exhaust gas treatment (oh. 100323),,
2018,EAV-100325-G,"Aluminum metallurgy: sludge, filter k.a.",3.0,4.7
2018,EAV-100326-U,sludges and. Filter cake from flue gas tank. (oh.100325),4.0,0.1
2018,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank.,,
2018,EAV-100328-U,Waste from cooling water treatment (excluding 100327),,
2018,EAV-100329-G,Aluminum Metallurgy: Abf.a. Beh. v.Salt slags,,
2018,EAV-100330-U,Waste from treatment of salt slags (oh.100329),,
2018,EAV-100399-U,Aluminum metallurgy: wastes n.e.c.,,
2018,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),6.0,97.0
2018,EAV-100402-G,"Lead metal: dross, scum (first, second scum)",52.0,5.7
2018,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,
2018,EAV-100404-G,Lead metallurgy: filter dust,3.0,4.1
2018,EAV-100405-G,Lead Metallurgy: Other particles and dust,10.0,3.7
2018,EAV-100406-G,Lead metallurgy: Solid waste from exhaust gas treatment,,
2018,EAV-100407-G,"Lead Metallurgy: Slurries, Filterk. from exhaust gas tank",,
2018,EAV-100409-G,Lead Metallurgy: Oilh. Waste from cooling water tanks,,
2018,EAV-100410-U,Waste from cooling water treatment (excluding 100409),,
2018,EAV-100499-U,Lead metallurgy: wastes not otherwise specified,,
2018,EAV-100501-U,"Zinc metallurgy: slags (first, second melting)",6.0,2.0
2018,EAV-100503-G,Zinc Metallurgy: Filter Dust,7.0,0.2
2018,EAV-100504-U,Zinc Metallurgy: Other Particles and Dust,14.0,1.7
2018,EAV-100505-G,Zinc Metallurgy: Solid waste from flue gas treatment,,
2018,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank.",,
2018,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tanks,,
2018,EAV-100509-U,Waste from cooling water treatment (excluding 100508),,
2018,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,
2018,EAV-100511-U,"Scabies, scum (without 100510)",9.0,2.3
2018,EAV-100599-U,Zinc metallurgy: wastes not otherwise specified,3.0,0.1
2018,EAV-100601-U,"Copper metallurgy: slags (primary, secondary smelting)",5.0,69.6
2018,EAV-100602-U,"Copper metal: dross, scum (first, second scum)",8.0,7.9
2018,EAV-100603-G,Copper metallurgy: filter dust,6.0,1.3
2018,EAV-100604-U,Copper Metallurgy: Other Particles and Dust,5.0,2.1
2018,EAV-100606-G,Copper Metallurgy: Solid Waste a.Flue Gas Treatment,,
2018,EAV-100607-G,"Copper metallurgy: sludges, filters. a.Exhaust tank",,
2018,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank.,,
2018,EAV-100610-U,Waste from cooling water treatment (without 100609),,
2018,EAV-100699-U,Copper metallurgy: wastes not otherwise specified,,
2018,EAV-100701-U,"Silver metal etc.: slag (first, second melt)",,
2018,EAV-100702-U,"Silver metal and others: dross, scum (first and second scum)",3.0,0.0
2018,EAV-100703-U,Silbermet.a.a.: Solid waste from flue gas treatment,,
2018,EAV-100704-U,Silver metal among others: Other particles and dust,6.0,0.1
2018,EAV-100705-U,"Silver metal, among other things: sludges, filter cakes in exhaust gas containers.",,
2018,EAV-100707-G,Silbermet.ua.: Waste containing oil from a.Cooling water tank.,,
2018,EAV-100708-U,Waste from cooling water treatment (without 100707),,
2018,EAV-100799-U,"Silver, gold, platinum metallurgy: wastes n.e.c",,
2018,EAV-100804-U,Nonferrous Metallurgy: Particles and Dust,11.0,0.9
2018,EAV-100808-G,"Non-ferrous metals: salt slag (first, second smelting)",,
2018,EAV-100809-U,Non-ferrous Metallurgy: Other slags,11.0,59.5
2018,EAV-100810-G,"Nonferrous metallurgy:dross,scum (flammable)",6.0,0.3
2018,EAV-100811-U,"Scabies, scum (without 100810)",56.0,4.4
2018,EAV-100812-G,non-ferrous metal: tar Waste from anode manufacture.,,
2018,EAV-100813-U,Carbon-containing waste (excluding 100812),,
2018,EAV-100814-U,Non-ferrous metallurgy: anode scrap,,
2018,EAV-100815-G,Non-ferrous metallurgy: filter dust with hazardous level,31.0,4.2
2018,EAV-100816-U,Filter dust (without 100815),6.0,0.1
2018,EAV-100817-G,"Non-ferrous metallurgy: sludges, filters k.a.",,
2018,EAV-100818-U,Sludge and filter cake from exhaust gas treatment (oh.100817),,
2018,EAV-100819-G,Nonferrous Metallurgy: Oil H.Abf. from cooling water tank.,,
2018,EAV-100820-U,Waste from cooling water treatment (excluding 100819),,
2018,EAV-100899-U,Non-ferrous metallurgy: wastes not otherwise specified,3.0,0.0
2018,EAV-100903-U,"Iron,steel: furnace slag",103.0,259.6
2018,EAV-100905-G,"Iron, steel: casting molds and sand before casting",4.0,0.7
2018,EAV-100906-U,Casting molds and sand before casting (oh.100905),44.0,106.3
2018,EAV-100907-G,"Iron, steel: casting molds and sand after casting",8.0,3.3
2018,EAV-100908-U,Casting molds and sand after casting (without 100907),142.0,1854.2
2018,EAV-100909-G,"Iron, steel: filter dust with dangerous substances",35.0,11.0
2018,EAV-100910-U,Filter dust (without 100909),50.0,56.4
2018,EAV-100911-G,"Iron, steel: Other particles with dangerous fabrics",,
2018,EAV-100912-U,Other particles (excluding 100911),,
2018,EAV-100913-G,"Iron,steel: abf. Binders with dangerous St.",,
2018,EAV-100914-U,Waste binding agents (excluding 100913),,
2018,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,
2018,EAV-100916-U,Waste from crack-indicating substances (oh.100915),,
2018,EAV-100999-U,Casting of iron and steel: wastes not otherwise specified,8.0,3.1
2018,EAV-101003-U,Non-ferrous metals: furnace slag,24.0,7.8
2018,EAV-101005-G,"Non-ferrous metals: casting moulds, casting sands before casting",,
2018,EAV-101006-U,Casting molds and sand before casting (without 101005),12.0,26.9
2018,EAV-101007-G,"Non-ferrous metal: casting molds, sand after casting",3.0,0.6
2018,EAV-101008-U,Casting molds and sands after casting (without 101007),44.0,246.3
2018,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,15.0,4.3
2018,EAV-101010-U,Filter dust (without 101009),12.0,1.0
2018,EAV-101011-G,Non-ferrous metals: And. particles with dangerous substances,,
2018,EAV-101012-U,Other particles (excluding 101011),4.0,1.0
2018,EAV-101013-G,Non-ferrous metal: Abf.v. Binders with dangerous substances,,
2018,EAV-101014-U,Waste binders (excluding 101013),,
2018,EAV-101015-G,Non-ferrous metals: waste from crack-indicating subst.,,
2018,EAV-101016-U,Waste from crack-indicating substances (oh.101015),,
2018,EAV-101099-U,Casting of non-ferrous metals: wastes not otherwise specified,6.0,2.0
2018,EAV-101103-U,fiberglass waste,60.0,47.5
2018,EAV-101105-U,Glass production: particles and dust,19.0,0.5
2018,EAV-101109-G,Batch waste with hazardous fabrics v. i.e. Melt,9.0,0.6
2018,EAV-101110-U,Batch waste before melting (without 101109),14.0,5.9
2018,EAV-101111-G,Glass waste in small particles and glass dust,9.0,2.1
2018,EAV-101112-U,Glass waste (without 101111),232.0,223.8
2018,EAV-101113-G,Glass polishing and glass grinding sludge,23.0,1.6
2018,EAV-101114-U,Glass polishing and glass grinding slurry (without 101113),53.0,3.4
2018,EAV-101115-G,Glass production: Solid waste from waste gas treatment,36.0,2.7
2018,EAV-101116-U,Solid waste from flue gas treatment (excluding 101115),12.0,2.2
2018,EAV-101117-G,"Glass production: sludges, filters. from exhaust gas tank.",,
2018,EAV-101118-U,Sludge and filter cake from exhaust gas treatment (oh.101117),,
2018,EAV-101119-G,Glass manufacturer: Solid Abf. a. company-owned wastewater tank,9.0,1.3
2018,EAV-101120-U,solid waste a. operational Sewage treatment (oh.101119),10.0,0.5
2018,EAV-101199-U,Glass production: waste n.e.c.,3.0,0.1
2018,EAV-101201-U,Ceramic products: raw mixtures before firing,37.0,36.3
2018,EAV-101203-U,Ceramic products: particles and dust,54.0,6.5
2018,EAV-101205-U,"Ceramic products: slurries, filter c. a. Exhaust gas tank",,
2018,EAV-101206-U,Ceramic Products: Discarded Forms,39.0,9.5
2018,EAV-101208-U,"Waste from ceramic products, bricks, etc.",97.0,108.2
2018,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,19.0,3.8
2018,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),54.0,13.2
2018,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,,
2018,EAV-101212-U,Glaze waste (without 101211),4.0,0.3
2018,EAV-101213-U,Ceramic products: sludge (in-house waste water treatment),46.0,54.9
2018,EAV-101299-U,"Ceramic products, ceramic building materials: waste not otherwise specified",14.0,1.9
2018,EAV-101301-U,Cement etc.: Waste from raw batch before burning,,
2018,EAV-101304-U,"Waste from calcination, hydration from quicklime",15.0,100.5
2018,EAV-101306-U,"Cement and others: particles, dust (except 101312,101313)",44.0,72.6
2018,EAV-101307-U,"Cement etc.: sludge, filter cake from waste gas treatment.",,
2018,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,
2018,EAV-101310-U,Waste from manufacturing v. Asbestos cement (oh.101309),,
2018,EAV-101311-U,"Waste from composite materials (excluding 101309, 101310)",31.0,1932.3
2018,EAV-101312-G,Cement etc.: Solid waste from flue gas treatment,5.0,1.9
2018,EAV-101313-U,Solid waste from exhaust gas treatment (oh. 101312),,
2018,EAV-101314-U,Concrete waste and concrete slurry,135.0,311.4
2018,EAV-101399-U,"Cement, gypsum, quicklime: waste n.e.s.",8.0,1.1
2018,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,3.0,0.0
2018,EAV-11,Waste from chemical surface treatment,,
2018,EAV-110105-G,Surface treatment: Acid pickling solutions,576.0,153.7
2018,EAV-110106-G,Surface treat.: acids n.e.c.,192.0,6.6
2018,EAV-110107-G,Surface treatment: Alkaline pickling solutions,617.0,48.8
2018,EAV-110108-G,Surface treatment: phosphating sludge,165.0,6.4
2018,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",565.0,51.3
2018,EAV-110110-U,Sludge and filter cake (without 110109),95.0,51.3
2018,EAV-110111-G,Surface treatment: Aqueous flushing liquid. with tax,733.0,58.0
2018,EAV-110112-U,Aqueous rinsing liquids (without 110111),97.0,8.1
2018,EAV-110113-G,Surface treatment: Waste from degreasing with,143.0,9.3
2018,EAV-110114-U,waste from degreasing (without 110113),14.0,0.2
2018,EAV-110115-G,"Surface treatment: eluates, sludges a. Membrane system",3.0,0.4
2018,EAV-110116-G,Surface treatment: ion exchange resins,23.0,0.0
2018,EAV-110198-G,Surface treatment: Other waste with hazardous St.,198.0,9.6
2018,EAV-110199-U,Surface treatment: waste not otherwise specified,13.0,13.5
2018,EAV-110202-G,Sludge from zinc hydrometallurgy,6.0,171.0
2018,EAV-110203-U,Waste from the production of anodes,,
2018,EAV-110205-G,Waste from copper hydrometallurgy processes,,
2018,EAV-110206-U,Waste from process. d.Copper Hydromet.(oh.110205),,
2018,EAV-110207-G,Non-ferrous hydrometallurgy: Other Abf. m.dangerous.St.,3.0,14.1
2018,EAV-110299-U,Non-ferrous hydrometallurgy: wastes n.e.c.,6.0,1.6
2018,EAV-110301-G,"Sludges, solids from hardening processes: cyanidh. waste",26.0,0.4
2018,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",47.0,1.2
2018,EAV-110501-U,Galvanization: Heart zinc,13.0,5.6
2018,EAV-110502-U,Galvanizing: zinc ash,13.0,1.7
2018,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,6.0,0.1
2018,EAV-110504-G,Galvanizing: Used fluxes,,
2018,EAV-110599-U,Galvanizing: waste n.e.c.,,
2018,EAV-12,Waste from mechanical shaping processes,,
2018,EAV-120101-U,Iron filings and turnings,2711.0,1562.3
2018,EAV-120102-U,iron dust and particles,2370.0,2958.5
2018,EAV-120103-U,Non-ferrous metal filings and turnings,2084.0,319.2
2018,EAV-120104-U,Non-ferrous metal dust and particles,1473.0,245.4
2018,EAV-120105-U,Plastic chips and turnings,407.0,58.5
2018,EAV-120106-G,Halogen-containing mineral oil-based machining oils,19.0,10.9
2018,EAV-120107-G,Halogen-free processing oils based on mineral oil,137.0,24.7
2018,EAV-120108-G,Halogenated machining emulsions and. -solutions,33.0,0.9
2018,EAV-120109-G,Halogen-free processing emulsions and solutions,4694.0,432.3
2018,EAV-120110-G,Synthetic machining oils,28.0,0.2
2018,EAV-120112-G,Used waxes and fats,568.0,11.7
2018,EAV-120113-U,Welding waste,102.0,34.0
2018,EAV-120114-G,Processing sludge with dangerous substances,323.0,15.7
2018,EAV-120115-U,Processing sludge (without 120114),129.0,7.5
2018,EAV-120116-G,Abrasive waste (with hazardous substances),205.0,7.4
2018,EAV-120117-U,Abrasive waste (without 120116),767.0,64.5
2018,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",690.0,52.2
2018,EAV-120119-G,Easily biodegradable machining oils,,
2018,EAV-120120-G,Used honing and abrasives with hazardous substances,85.0,5.6
2018,EAV-120121-U,Used honing and grinding materials (without 120120),416.0,11.1
2018,EAV-120199-U,"Surface treatment Metals, plastics: wastes n.e.c.",161.0,147.8
2018,EAV-120301-G,Aqueous washing liquids,473.0,22.6
2018,EAV-120302-G,Vapor degreasing waste,13.0,0.7
2018,EAV-13,waste oil and liquid fuel waste,,
2018,EAV-130101-G,Hydraulic oils containing PCBs,,
2018,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,,
2018,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,79.0,4.9
2018,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,3.0,0.0
2018,EAV-130110-G,"Mineral oil-based, non-chlorinated hydraulic oils",153.0,1.9
2018,EAV-130111-G,Synthetic hydraulic oils,15.0,0.1
2018,EAV-130112-G,Easily biodegradable hydraulic oils,3.0,0.0
2018,EAV-130113-G,Other hydraulic oils,24.0,0.1
2018,EAV-130204-G,"Chlorinated engine, gear and lubricating oils",90.0,0.7
2018,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",5968.0,72.6
2018,EAV-130206-G,"Synthetic machine, gear and lubricating oils",44.0,0.1
2018,EAV-130207-G,Easily biodegradable. Machine and gear oils,4.0,0.0
2018,EAV-130208-G,"Other machine, gear and lubricating oils",494.0,5.8
2018,EAV-130301-G,Insulating and heat transfer oils with PCB,17.0,0.2
2018,EAV-130306-G,Chlorine. Insulating and heat transfer oils (oh.130301),4.0,0.0
2018,EAV-130307-G,Non-chlorinated insulating and heat transfer oils,119.0,3.1
2018,EAV-130308-G,Synthetic insulating and heat transfer oils,31.0,1.1
2018,EAV-130309-G,Biologist easily degradable. Insulation and Heat transfer oils,,
2018,EAV-130310-G,Other insulating and heat transfer oils,20.0,0.1
2018,EAV-130401-G,Bilge oils from inland shipping,,
2018,EAV-130402-G,Bilge oils from pier drains,,
2018,EAV-130403-G,Bilge oils from other shipping,20.0,4.3
2018,EAV-130501-G,Solid waste from grit chambers and oil/water separators,195.0,4.6
2018,EAV-130502-G,Sludge from oil/water separators,1441.0,58.6
2018,EAV-130503-G,sludge from manholes,366.0,9.2
2018,EAV-130506-G,Oils from oil/water separators,37.0,2.2
2018,EAV-130507-G,Oily water from oil/water separators,356.0,20.2
2018,EAV-130508-G,"Waste mixtures from sand traps, oil/water separators.",882.0,19.5
2018,EAV-130701-G,Heating oil and diesel,107.0,1.8
2018,EAV-130702-G,Petrol,53.0,0.5
2018,EAV-130703-G,Other fuels (including mixtures),276.0,18.0
2018,EAV-130801-G,Oil waste: sludges or emulsions from desalinators,,
2018,EAV-130802-G,Oil waste: Other emulsions,471.0,14.9
2018,EAV-130899-G,Oil waste: waste n.e.c.,330.0,15.5
2018,EAV-14,"Waste from organic solvents, coolants",,
2018,EAV-140601-G,"Chlorofluorocarbons, HCFCs, HFCs",75.0,0.1
2018,EAV-140602-G,Other halogenated solvents and solvent-based,319.0,3.7
2018,EAV-140603-G,Other solvents and solvent mixtures,3152.0,44.9
2018,EAV-140604-G,"Sludges, solid waste (halogenated solvents)",12.0,0.8
2018,EAV-140605-G,"Sludge, solid waste (other solvents)",51.0,0.9
2018,EAV-15,"Packaging waste, absorbent masses, wipes",,
2018,EAV-150101-U,Paper and cardboard packaging,13961.0,1904.0
2018,EAV-150102-U,Plastic packaging,10430.0,459.3
2018,EAV-150103-U,wooden packaging,7668.0,541.3
2018,EAV-150104-U,packaging of metal,792.0,52.5
2018,EAV-150105-U,Composite packaging,347.0,67.1
2018,EAV-15010600-U,Mixed packaging cannot be differentiated,7725.0,593.3
2018,EAV-15010601-U,Lightweight packaging (LVP),1807.0,33.9
2018,EAV-15010602-U,Mixed recyclables plus lightweight packaging,93.0,3.8
2018,EAV-150107-U,Glass packaging,1074.0,92.4
2018,EAV-150109-U,Packaging made from textiles,29.0,0.7
2018,EAV-150110-G,Packaging with residues of dangerous substances,4721.0,42.1
2018,EAV-150111-G,packaging of metal,79.0,1.2
2018,EAV-150202-G,"Absorbent and filter materials, wipes",8465.0,94.6
2018,EAV-150203-U,Absorbent and filter materials (without 150202),558.0,29.6
2018,EAV-16,Waste not included elsewhere in the inventory,,
2018,EAV-160103-U,scrap tires,715.0,57.7
2018,EAV-160104-G,Old vehicles,30.0,6.7
2018,EAV-160106-U,End-of-life vehicles without dangerous components,17.0,10.6
2018,EAV-160107-G,Old vehicles: oil filters,310.0,0.3
2018,EAV-160108-G,Old vehicles: components containing mercury,7.0,0.0
2018,EAV-160109-G,End-of-life vehicles: components containing PCBs,,
2018,EAV-160110-G,End-of-life vehicles: Explosive components (e.g. from airbags),44.0,1.0
2018,EAV-160111-G,Old vehicles: brake pads containing asbestos,,
2018,EAV-160112-U,Brake pads (without 160111),27.0,2.6
2018,EAV-160113-G,End-of-life vehicles: brake fluids,135.0,0.5
2018,EAV-160114-G,End-of-life vehicles: antifreeze is dangerous. fabrics,692.0,4.2
2018,EAV-160115-U,Antifreeze (without 160114),20.0,0.1
2018,EAV-160116-U,End-of-life vehicles: LPG containers,3.0,0.0
2018,EAV-160117-U,End-of-life vehicles: ferrous metals,279.0,172.1
2018,EAV-160118-U,End-of-life vehicles: non-ferrous metals,184.0,104.5
2018,EAV-160119-U,Old vehicles: plastics,156.0,14.6
2018,EAV-160120-U,Old vehicles: glass,131.0,4.3
2018,EAV-16012100-G,"Dangerous Components (without 160107-160111,160113-160114)",42.0,2.1
2018,EAV-16012101-G,"Dangerous metallic components (without 160107-11,160113-14)",4.0,1.3
